trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.996}",20,0,-147.47458192576553,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.992016}",20,0,-169.30354605927496,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.988047936}",30,0,-241.04858229055006,"{0: 13, 1: 6, 2: 7, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.984095744256}",20,0,-120.44752927861553,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.980159361278976}",25,0,-157.97047930148747,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9762387238338601}",30,0,-148.81734467244775,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9723337689385246}",20,0,-109.6560751056425,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9684444338627706}",25,0,-91.75322543887272,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9645706561273194}",25,0,-80.02063987142984,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9607123735028101}",35,0,-226.0263386060968,"{0: 18, 1: 5, 2: 8, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9568695240087989}",30,8,-97.82245046665929,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9530420459127638}",20,0,-97.9619617693478,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9492298777291127}",25,0,-96.55770533761647,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9454329582181962}",30,0,-205.9726977439053,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9416512263853234}",35,0,-187.77504288452607,"{0: 17, 1: 6, 2: 8, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9378846214797821}",25,0,-70.86022531986796,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
