trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.996}",20,10,-14.611417074435865,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.992016}",20,0,-175.9117889054725,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.988047936}",20,0,-108.6254784193086,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.984095744256}",25,0,-198.30410569020654,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.980159361278976}",25,0,-167.83643599113103,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9762387238338601}",25,0,-76.31660929852652,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9723337689385246}",25,0,-90.8399435572171,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9684444338627706}",20,0,-94.6330158835264,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9645706561273194}",20,3,-65.19715200119946,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9607123735028101}",30,19,-0.3020124573113945,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9568695240087989}",25,0,-123.51075042685828,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9530420459127638}",20,0,-33.4778362392142,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9492298777291127}",20,0,-63.15264041479965,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9454329582181962}",20,0,-91.21098726028312,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9416512263853234}",20,0,-103.62873864856951,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9378846214797821}",25,0,-163.4150221964666,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.934133082993863}",25,14,-47.52844604065958,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9303965506618875}",20,0,-52.310624638974325,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.92667496445924}",25,0,-123.21212135564333,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.922968264601403}",20,0,-97.93368929443145,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9192763915429975}",35,0,-175.96677026037526,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9155992859768254}",25,0,-81.3909534979063,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9119368888329181}",25,0,-215.76052689785496,"{0: 9, 1: 3, 2: 9, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9082891412775864}",20,0,-93.8411390126326,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9046559847124761}",30,0,-2.088729745696374,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9010373607736262}",25,0,-67.46208178669897,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8974332113305317}",20,0,-97.08539510591719,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8938434784852095}",20,0,-172.26862126960273,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.8902681045712687}",20,0,-159.43890779525927,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8867070321529836}",30,0,-104.63687270099129,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8831602040243717}",20,11,-40.02569865763877,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8796275632082742}",25,0,-85.92994409382716,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8761090529554411}",30,1,-250.87756743469296,"{0: 13, 1: 2, 2: 9, 3: 2, 4: 3}",1
34,False,"{'a': 0.5, 'e': 0.8726046167436193}",20,0,-119.24773131883966,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8691141982766448}",25,15,-80.80831404899465,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.8656377414835382}",20,0,-75.31022137682766,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.862175190517604}",20,0,-119.07404127436149,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8587264897555337}",25,0,-90.61560138511443,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8552915837965115}",20,0,-81.57811665290708,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8518704174613255}",20,0,-78.23829107010648,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8484629357914802}",35,0,-172.7615073204053,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.8450690840483143}",20,0,-92.93455927571884,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.841688807712121}",30,4,-63.40798843998594,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 0}",1
