trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.996}",25,9,-5.067001775675852,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.992016}",20,0,-103.73442438039848,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.988047936}",20,0,-147.5934118009638,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.984095744256}",25,0,-150.5534831862728,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.980159361278976}",25,0,-202.70298836901404,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9762387238338601}",20,0,-67.47848182196799,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9723337689385246}",20,0,-130.15535159409217,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9684444338627706}",20,0,-142.3761744557002,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9645706561273194}",20,0,-145.74074793594698,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9607123735028101}",25,0,-98.42333557306266,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9568695240087989}",25,0,-81.46970345601154,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9530420459127638}",25,0,-125.3656427501066,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9492298777291127}",20,0,-122.40915045510116,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9454329582181962}",20,0,-106.68021852034587,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9416512263853234}",30,16,-45.00993751529584,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9378846214797821}",30,0,-177.83370503194075,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.934133082993863}",25,0,-46.844907305480106,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9303965506618875}",30,0,-179.6143242831351,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.92667496445924}",25,0,-131.89603331873184,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.922968264601403}",20,0,-105.20204775033348,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9192763915429975}",25,0,-167.79774800867352,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9155992859768254}",30,0,-105.97008412980507,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9119368888329181}",25,0,-39.70085736404259,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9082891412775864}",25,0,-119.96429916877264,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9046559847124761}",25,0,-210.14282526112052,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9010373607736262}",25,0,-141.86720351764004,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8974332113305317}",25,0,-92.30738151521099,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8938434784852095}",25,0,-151.65247819375566,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8902681045712687}",25,0,-148.1821893527737,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8867070321529836}",35,0,-61.35985185487431,"{0: 25, 1: 1, 2: 9, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8831602040243717}",20,0,-83.93642863048035,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8796275632082742}",20,0,-180.48242816595905,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.8761090529554411}",25,18,-0.23424882641551426,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8726046167436193}",20,0,-32.421667149148846,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8691141982766448}",20,0,-70.42505507143365,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8656377414835382}",25,0,-68.48348403960387,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.862175190517604}",25,0,-67.98731459248431,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8587264897555337}",30,0,-71.5710245415016,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
