trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.996}",25,0,-48.65950809164097,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.992016}",20,0,-101.49891366529408,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.988047936}",20,0,-149.2809863829887,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.984095744256}",20,0,-70.52534963999217,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.980159361278976}",20,0,-55.72746494383659,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9762387238338601}",25,0,-109.57725617600369,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9723337689385246}",20,0,-25.220908275126337,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9684444338627706}",20,8,-79.54038541496539,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9645706561273194}",25,0,-59.02305597927882,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9607123735028101}",35,0,-214.28748494547807,"{0: 21, 1: 2, 2: 6, 3: 4, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9568695240087989}",25,0,-84.12508438308122,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9530420459127638}",35,8,-212.8405045647194,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 4}",1
13,False,"{'a': 0.5, 'e': 0.9492298777291127}",25,0,-53.69032421225274,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9454329582181962}",25,0,-151.94230902385664,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9416512263853234}",30,0,-319.90089100990986,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.9378846214797821}",20,0,-86.9719471678337,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.934133082993863}",20,0,-153.89831496234524,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9303965506618875}",25,0,-107.88415219710515,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.92667496445924}",25,0,-77.60585940250074,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.922968264601403}",25,0,-225.50356730143017,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9192763915429975}",20,0,-203.24873474110777,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.9155992859768254}",25,3,-67.44124959416173,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.9119368888329181}",25,0,-91.73191784456931,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9082891412775864}",20,0,-100.73920507569929,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9046559847124761}",20,0,-77.50036148943875,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9010373607736262}",25,0,-204.08935658698542,"{0: 9, 1: 4, 2: 9, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8974332113305317}",20,0,-114.64017115759538,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8938434784852095}",20,0,-57.80099484693575,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8902681045712687}",30,0,-242.35548408653,"{0: 19, 1: 0, 2: 4, 3: 3, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.8867070321529836}",35,0,-186.45473524179,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8831602040243717}",20,0,-126.95112393376093,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8796275632082742}",20,0,-70.87494963174811,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8761090529554411}",20,0,-86.86785494794715,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.8726046167436193}",35,13,-85.57415122942473,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
